Corrección de efectos;Componentes del coste;Tipo de dato;Periodo;Total
Datos no ajustados de estacionalidad y calendario;Coste salarial total por trabajador;Euros;2015T4;2.026,14
Datos no ajustados de estacionalidad y calendario;Coste salarial total por trabajador;Euros;2015T3;1.809,88
Datos no ajustados de estacionalidad y calendario;Coste salarial total por trabajador;Euros;2015T2;1.941,74
Datos no ajustados de estacionalidad y calendario;Coste salarial total por trabajador;Euros;2015T1;1.831,7
Datos no ajustados de estacionalidad y calendario;Coste salarial total por trabajador;Euros;2014T4;1.991,84
Datos no ajustados de estacionalidad y calendario;Coste salarial total por trabajador;Euros;2014T3;1.800,46
Datos no ajustados de estacionalidad y calendario;Coste salarial total por trabajador;Euros;2014T2;1.929,58
Datos no ajustados de estacionalidad y calendario;Coste salarial total por trabajador;Euros;2014T1;1.805,76
Datos no ajustados de estacionalidad y calendario;Coste salarial total por trabajador;Euros;2013T4;1.995,68
Datos no ajustados de estacionalidad y calendario;Coste salarial total por trabajador;Euros;2013T3;1.801,42
Datos no ajustados de estacionalidad y calendario;Coste salarial total por trabajador;Euros;2013T2;1.928,72
Datos no ajustados de estacionalidad y calendario;Coste salarial total por trabajador;Euros;2013T1;1.809,22
Datos no ajustados de estacionalidad y calendario;Coste salarial total por trabajador;Euros;2012T4;1.946,91
Datos no ajustados de estacionalidad y calendario;Coste salarial total por trabajador;Euros;2012T3;1.805,63
Datos no ajustados de estacionalidad y calendario;Coste salarial total por trabajador;Euros;2012T2;1.939,73
Datos no ajustados de estacionalidad y calendario;Coste salarial total por trabajador;Euros;2012T1;1.841,89
Datos no ajustados de estacionalidad y calendario;Coste salarial total por trabajador;Euros;2011T4;2.020,13
Datos no ajustados de estacionalidad y calendario;Coste salarial total por trabajador;Euros;2011T3;1.800,84
Datos no ajustados de estacionalidad y calendario;Coste salarial total por trabajador;Euros;2011T2;1.938,78
Datos no ajustados de estacionalidad y calendario;Coste salarial total por trabajador;Euros;2011T1;1.819,62
Datos no ajustados de estacionalidad y calendario;Coste salarial total por trabajador;Euros;2010T4;1.992,9
Datos no ajustados de estacionalidad y calendario;Coste salarial total por trabajador;Euros;2010T3;1.779,27
Datos no ajustados de estacionalidad y calendario;Coste salarial total por trabajador;Euros;2010T2;1.926,75
Datos no ajustados de estacionalidad y calendario;Coste salarial total por trabajador;Euros;2010T1;1.802
Datos no ajustados de estacionalidad y calendario;Coste salarial total por trabajador;Euros;2009T4;1.993,15
Datos no ajustados de estacionalidad y calendario;Coste salarial total por trabajador;Euros;2009T3;1.776,61
Datos no ajustados de estacionalidad y calendario;Coste salarial total por trabajador;Euros;2009T2;1.893,28
Datos no ajustados de estacionalidad y calendario;Coste salarial total por trabajador;Euros;2009T1;1.768,87
Datos no ajustados de estacionalidad y calendario;Coste salarial total por trabajador;Euros;2008T4;1.940,29
Datos no ajustados de estacionalidad y calendario;Coste salarial total por trabajador;Euros;2008T3;1.722,45
Datos no ajustados de estacionalidad y calendario;Coste salarial total por trabajador;Euros;2008T2;1.818,35
Datos no ajustados de estacionalidad y calendario;Coste salarial total por trabajador;Euros;2008T1;1.719,02
Datos no ajustados de estacionalidad y calendario;Coste salarial total por trabajador;Euros;2007T4;1.851,4
