Comunidades y Ciudades Autónomas;Componentes del coste;Tipo de dato;Periodo;Total
Total Nacional;Coste total por trabajador;Tasa de variación anual;2000T4;..
Total Nacional;Coste total por trabajador;Tasa de variación anual;2000T3;..
Total Nacional;Coste total por trabajador;Tasa de variación anual;2000T2;..
Total Nacional;Coste total por trabajador;Tasa de variación anual;2000T1;..
Total Nacional;Coste salarial total por trabajador;Euros;2024T4;2.442,32
Total Nacional;Coste salarial total por trabajador;Euros;2024T3;2.205,43
Total Nacional;Coste salarial total por trabajador;Euros;2024T2;2.353,59
Total Nacional;Coste salarial total por trabajador;Euros;2024T1;2.206,06
Total Nacional;Coste salarial total por trabajador;Euros;2023T4;2.359,38
Total Nacional;Coste salarial total por trabajador;Euros;2023T3;2.117,8
Total Nacional;Coste salarial total por trabajador;Euros;2023T2;2.262,63
Total Nacional;Coste salarial total por trabajador;Euros;2023T1;2.126,63
Total Nacional;Coste salarial total por trabajador;Euros;2022T4;2.268
Total Nacional;Coste salarial total por trabajador;Euros;2022T3;2.032,05
Total Nacional;Coste salarial total por trabajador;Euros;2022T2;2.153,88
Total Nacional;Coste salarial total por trabajador;Euros;2022T1;2.006,61
Total Nacional;Coste salarial total por trabajador;Euros;2021T4;2.165,79
Total Nacional;Coste salarial total por trabajador;Euros;2021T3;1.952,37
Total Nacional;Coste salarial total por trabajador;Euros;2021T2;2.064,37
Total Nacional;Coste salarial total por trabajador;Euros;2021T1;1.907,82
Total Nacional;Coste salarial total por trabajador;Euros;2020T4;2.061,32
Total Nacional;Coste salarial total por trabajador;Euros;2020T3;1.859,12
Total Nacional;Coste salarial total por trabajador;Euros;2020T2;1.804,08
Total Nacional;Coste salarial total por trabajador;Euros;2020T1;1.889,78
Total Nacional;Coste salarial total por trabajador;Euros;2019T4;2.075,43
Total Nacional;Coste salarial total por trabajador;Euros;2019T3;1.876,95
Total Nacional;Coste salarial total por trabajador;Euros;2019T2;1.992,18
Total Nacional;Coste salarial total por trabajador;Euros;2019T1;1.876,19
Total Nacional;Coste salarial total por trabajador;Euros;2018T4;2.039,01
Total Nacional;Coste salarial total por trabajador;Euros;2018T3;1.842,62
Total Nacional;Coste salarial total por trabajador;Euros;2018T2;1.951,81
Total Nacional;Coste salarial total por trabajador;Euros;2018T1;1.844,24
Total Nacional;Coste salarial total por trabajador;Euros;2017T4;2.020,14
Total Nacional;Coste salarial total por trabajador;Euros;2017T3;1.809,12
Total Nacional;Coste salarial total por trabajador;Euros;2017T2;1.942,01
Total Nacional;Coste salarial total por trabajador;Euros;2017T1;1.829,13
Total Nacional;Coste salarial total por trabajador;Euros;2016T4;2.010,73
Total Nacional;Coste salarial total por trabajador;Euros;2016T3;1.804,01
Total Nacional;Coste salarial total por trabajador;Euros;2016T2;1.943,01
Total Nacional;Coste salarial total por trabajador;Euros;2016T1;1.832,26
Total Nacional;Coste salarial total por trabajador;Euros;2015T4;2.026,14
Total Nacional;Coste salarial total por trabajador;Euros;2015T3;1.809,88
Total Nacional;Coste salarial total por trabajador;Euros;2015T2;1.941,74
Total Nacional;Coste salarial total por trabajador;Euros;2015T1;1.831,7
Total Nacional;Coste salarial total por trabajador;Euros;2014T4;1.991,84
Total Nacional;Coste salarial total por trabajador;Euros;2014T3;1.800,46
Total Nacional;Coste salarial total por trabajador;Euros;2014T2;1.929,58
Total Nacional;Coste salarial total por trabajador;Euros;2014T1;1.805,76
Total Nacional;Coste salarial total por trabajador;Euros;2013T4;1.995,68
Total Nacional;Coste salarial total por trabajador;Euros;2013T3;1.801,42
Total Nacional;Coste salarial total por trabajador;Euros;2013T2;1.928,72
Total Nacional;Coste salarial total por trabajador;Euros;2013T1;1.809,22
Total Nacional;Coste salarial total por trabajador;Euros;2012T4;1.946,91
Total Nacional;Coste salarial total por trabajador;Euros;2012T3;1.805,63
Total Nacional;Coste salarial total por trabajador;Euros;2012T2;1.939,73
Total Nacional;Coste salarial total por trabajador;Euros;2012T1;1.841,89
Total Nacional;Coste salarial total por trabajador;Euros;2011T4;2.020,13
Total Nacional;Coste salarial total por trabajador;Euros;2011T3;1.800,84
Total Nacional;Coste salarial total por trabajador;Euros;2011T2;1.938,78
Total Nacional;Coste salarial total por trabajador;Euros;2011T1;1.819,62
Total Nacional;Coste salarial total por trabajador;Euros;2010T4;1.992,9
Total Nacional;Coste salarial total por trabajador;Euros;2010T3;1.779,27
Total Nacional;Coste salarial total por trabajador;Euros;2010T2;1.926,75
Total Nacional;Coste salarial total por trabajador;Euros;2010T1;1.802
Total Nacional;Coste salarial total por trabajador;Euros;2009T4;1.993,15
Total Nacional;Coste salarial total por trabajador;Euros;2009T3;1.776,61
Total Nacional;Coste salarial total por trabajador;Euros;2009T2;1.893,28
Total Nacional;Coste salarial total por trabajador;Euros;2009T1;1.768,87
Total Nacional;Coste salarial total por trabajador;Euros;2008T4;1.940,29
Total Nacional;Coste salarial total por trabajador;Euros;2008T3;1.722,45
Total Nacional;Coste salarial total por trabajador;Euros;2008T2;1.818,35
Total Nacional;Coste salarial total por trabajador;Euros;2008T1;1.719,02
Total Nacional;Coste salarial total por trabajador;Euros;2007T4;1.851,4
Total Nacional;Coste salarial total por trabajador;Euros;2007T3;1.635,72
Total Nacional;Coste salarial total por trabajador;Euros;2007T2;1.731,68
Total Nacional;Coste salarial total por trabajador;Euros;2007T1;1.633,84
Total Nacional;Coste salarial total por trabajador;Euros;2006T4;1.778
Total Nacional;Coste salarial total por trabajador;Euros;2006T3;1.574,36
Total Nacional;Coste salarial total por trabajador;Euros;2006T2;1.669,42
Total Nacional;Coste salarial total por trabajador;Euros;2006T1;1.566,06
Total Nacional;Coste salarial total por trabajador;Euros;2005T4;1.691,15
Total Nacional;Coste salarial total por trabajador;Euros;2005T3;1.502,25
Total Nacional;Coste salarial total por trabajador;Euros;2005T2;1.588,21
Total Nacional;Coste salarial total por trabajador;Euros;2005T1;1.506,35
Total Nacional;Coste salarial total por trabajador;Euros;2004T4;1.648,71
Total Nacional;Coste salarial total por trabajador;Euros;2004T3;1.472,23
Total Nacional;Coste salarial total por trabajador;Euros;2004T2;1.535
Total Nacional;Coste salarial total por trabajador;Euros;2004T1;1.479,3
Total Nacional;Coste salarial total por trabajador;Euros;2003T4;1.610,53
Total Nacional;Coste salarial total por trabajador;Euros;2003T3;1.443,33
Total Nacional;Coste salarial total por trabajador;Euros;2003T2;1.484,64
Total Nacional;Coste salarial total por trabajador;Euros;2003T1;1.422,77
Total Nacional;Coste salarial total por trabajador;Euros;2002T4;1.554,54
Total Nacional;Coste salarial total por trabajador;Euros;2002T3;1.396,89
Total Nacional;Coste salarial total por trabajador;Euros;2002T2;1.422,96
Total Nacional;Coste salarial total por trabajador;Euros;2002T1;1.354,62
Total Nacional;Coste salarial total por trabajador;Euros;2001T4;1.498,49
Total Nacional;Coste salarial total por trabajador;Euros;2001T3;1.347,9
Total Nacional;Coste salarial total por trabajador;Euros;2001T2;1.369,61
Total Nacional;Coste salarial total por trabajador;Euros;2001T1;1.303,49
Total Nacional;Coste salarial total por trabajador;Euros;2000T4;1.444,37
Total Nacional;Coste salarial total por trabajador;Euros;2000T3;1.298,22
Total Nacional;Coste salarial total por trabajador;Euros;2000T2;1.333,83
Total Nacional;Coste salarial total por trabajador;Euros;2000T1;1.264,36
Total Nacional;Coste salarial total por trabajador;Índice;2024T4;128,3
Total Nacional;Coste salarial total por trabajador;Índice;2024T3;115,9
Total Nacional;Coste salarial total por trabajador;Índice;2024T2;123,6
Total Nacional;Coste salarial total por trabajador;Índice;2024T1;115,9
Total Nacional;Coste salarial total por trabajador;Índice;2023T4;123,9
Total Nacional;Coste salarial total por trabajador;Índice;2023T3;111,3
Total Nacional;Coste salarial total por trabajador;Índice;2023T2;118,9
Total Nacional;Coste salarial total por trabajador;Índice;2023T1;111,7
Total Nacional;Coste salarial total por trabajador;Índice;2022T4;119,1
Total Nacional;Coste salarial total por trabajador;Índice;2022T3;106,7
Total Nacional;Coste salarial total por trabajador;Índice;2022T2;113,1
Total Nacional;Coste salarial total por trabajador;Índice;2022T1;105,4
Total Nacional;Coste salarial total por trabajador;Índice;2021T4;113,8
Total Nacional;Coste salarial total por trabajador;Índice;2021T3;102,6
Total Nacional;Coste salarial total por trabajador;Índice;2021T2;108,4
Total Nacional;Coste salarial total por trabajador;Índice;2021T1;100,2
