Comunidades y Ciudades Autónomas;Periodo;Total
09 Cataluña;2015T3;15,92
09 Cataluña;2015T2;16,8
09 Cataluña;2015T1;17,09
09 Cataluña;2014T4;14,91
09 Cataluña;2014T3;15,93
09 Cataluña;2014T2;15,69
09 Cataluña;2014T1;18,81
09 Cataluña;2013T4;16,56
09 Cataluña;2013T3;17,51
09 Cataluña;2013T2;16,69
09 Cataluña;2013T1;18,56
09 Cataluña;2012T4;17,6
09 Cataluña;2012T3;16,74
09 Cataluña;2012T2;16,15
09 Cataluña;2012T1;16,59
09 Cataluña;2011T4;16,27
09 Cataluña;2011T3;15,44
09 Cataluña;2011T2;16,41
09 Cataluña;2011T1;16,97
09 Cataluña;2010T4;17,41
09 Cataluña;2010T3;16,37
09 Cataluña;2010T2;16,93
09 Cataluña;2010T1;16,77
09 Cataluña;2009T4;16,67
09 Cataluña;2009T3;16,13
09 Cataluña;2009T2;15,98
09 Cataluña;2009T1;16,77
09 Cataluña;2008T4;16,86
09 Cataluña;2008T3;16,87
09 Cataluña;2008T2;15,94
09 Cataluña;2008T1;16,34
10 Comunitat Valenciana;2024T4;19,59
10 Comunitat Valenciana;2024T3;17,88
10 Comunitat Valenciana;2024T2;17,79
10 Comunitat Valenciana;2024T1;18,01
10 Comunitat Valenciana;2023T4;16,57
10 Comunitat Valenciana;2023T3;17,7
10 Comunitat Valenciana;2023T2;16,67
10 Comunitat Valenciana;2023T1;20,76
10 Comunitat Valenciana;2022T4;15,82
10 Comunitat Valenciana;2022T3;15,24
10 Comunitat Valenciana;2022T2;16,15
10 Comunitat Valenciana;2022T1;15,32
10 Comunitat Valenciana;2021T4;15,6
10 Comunitat Valenciana;2021T3;14,86
10 Comunitat Valenciana;2021T2;16,64
10 Comunitat Valenciana;2021T1;17,21
10 Comunitat Valenciana;2020T4;16
10 Comunitat Valenciana;2020T3;16,36
10 Comunitat Valenciana;2020T2;18,01
10 Comunitat Valenciana;2020T1;16,2
10 Comunitat Valenciana;2019T4;15,47
10 Comunitat Valenciana;2019T3;15,01
10 Comunitat Valenciana;2019T2;15,15
10 Comunitat Valenciana;2019T1;15,86
10 Comunitat Valenciana;2018T4;14,2
10 Comunitat Valenciana;2018T3;14,61
10 Comunitat Valenciana;2018T2;14,8
10 Comunitat Valenciana;2018T1;15,17
10 Comunitat Valenciana;2017T4;16,11
10 Comunitat Valenciana;2017T3;15,39
10 Comunitat Valenciana;2017T2;15,07
10 Comunitat Valenciana;2017T1;15,03
10 Comunitat Valenciana;2016T4;14,18
10 Comunitat Valenciana;2016T3;14,74
10 Comunitat Valenciana;2016T2;15,58
10 Comunitat Valenciana;2016T1;14,85
10 Comunitat Valenciana;2015T4;13,27
10 Comunitat Valenciana;2015T3;13,87
10 Comunitat Valenciana;2015T2;16,07
10 Comunitat Valenciana;2015T1;14,92
10 Comunitat Valenciana;2014T4;14,64
10 Comunitat Valenciana;2014T3;15,58
10 Comunitat Valenciana;2014T2;16,5
10 Comunitat Valenciana;2014T1;19,18
10 Comunitat Valenciana;2013T4;18,06
10 Comunitat Valenciana;2013T3;15,99
10 Comunitat Valenciana;2013T2;18,65
10 Comunitat Valenciana;2013T1;17,56
10 Comunitat Valenciana;2012T4;15,55
10 Comunitat Valenciana;2012T3;14,86
10 Comunitat Valenciana;2012T2;15,55
10 Comunitat Valenciana;2012T1;15,3
10 Comunitat Valenciana;2011T4;16,13
10 Comunitat Valenciana;2011T3;15,22
10 Comunitat Valenciana;2011T2;16,32
10 Comunitat Valenciana;2011T1;16,02
10 Comunitat Valenciana;2010T4;17,31
10 Comunitat Valenciana;2010T3;16,02
10 Comunitat Valenciana;2010T2;14,88
10 Comunitat Valenciana;2010T1;15,41
10 Comunitat Valenciana;2009T4;15,01
10 Comunitat Valenciana;2009T3;14,35
10 Comunitat Valenciana;2009T2;14,79
10 Comunitat Valenciana;2009T1;15,85
10 Comunitat Valenciana;2008T4;15,48
10 Comunitat Valenciana;2008T3;15,65
10 Comunitat Valenciana;2008T2;15,57
10 Comunitat Valenciana;2008T1;16,2
11 Extremadura;2024T4;19,97
11 Extremadura;2024T3;17,45
11 Extremadura;2024T2;20,04
11 Extremadura;2024T1;20,54
11 Extremadura;2023T4;19,18
11 Extremadura;2023T3;18,59
11 Extremadura;2023T2;19,89
11 Extremadura;2023T1;15,26
11 Extremadura;2022T4;16,04
11 Extremadura;2022T3;16,98
11 Extremadura;2022T2;17,02
11 Extremadura;2022T1;16,32
